
> fin@0.2.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1420ms
 GET /test-box3-verification 200 in 3.5s (compile: 3.0s, proxy.ts: 177ms, render: 266ms)
 GET /test-box3-verification 200 in 57ms (compile: 8ms, proxy.ts: 8ms, render: 41ms)
 GET /test-box3-verification 200 in 106ms (compile: 11ms, proxy.ts: 10ms, render: 86ms)
 GET /test-box3-verification 200 in 65ms (compile: 5ms, proxy.ts: 9ms, render: 50ms)
 GET /test-box3-verification 200 in 99ms (compile: 8ms, proxy.ts: 17ms, render: 74ms)
 GET /test-box3-verification 200 in 104ms (compile: 5ms, proxy.ts: 11ms, render: 87ms)
 GET /test-box3-verification 200 in 104ms (compile: 6ms, proxy.ts: 7ms, render: 91ms)
 GET /test-box3-verification 200 in 58ms (compile: 6ms, proxy.ts: 7ms, render: 46ms)
 GET /test-box3-verification 200 in 56ms (compile: 6ms, proxy.ts: 8ms, render: 42ms)
 GET /test-box3-verification 200 in 77ms (compile: 7ms, proxy.ts: 11ms, render: 59ms)
 GET /test-box3-verification 200 in 98ms (compile: 8ms, proxy.ts: 12ms, render: 78ms)
 GET /test-box3-verification 200 in 87ms (compile: 14ms, proxy.ts: 8ms, render: 65ms)
 GET /test-box3-verification 200 in 61ms (compile: 5ms, proxy.ts: 7ms, render: 49ms)
 GET /test-box3-verification 200 in 42ms (compile: 2ms, proxy.ts: 5ms, render: 34ms)
 GET /test-box3-verification 200 in 42ms (compile: 4ms, proxy.ts: 12ms, render: 27ms)
 GET /api/apply-migration 200 in 1617ms (compile: 278ms, proxy.ts: 35ms, render: 1305ms)
 GET /test-box3-verification 200 in 92ms (compile: 6ms, proxy.ts: 5ms, render: 81ms)
 GET /test-box3-verification 200 in 77ms (compile: 6ms, proxy.ts: 8ms, render: 63ms)
 GET /test-box3-verification 200 in 40ms (compile: 5ms, proxy.ts: 9ms, render: 25ms)
 GET /test-box3-verification 200 in 39ms (compile: 5ms, proxy.ts: 7ms, render: 27ms)
 GET /test-box3-verification 200 in 103ms (compile: 6ms, proxy.ts: 10ms, render: 87ms)
 GET /test-box3-verification 200 in 68ms (compile: 7ms, proxy.ts: 11ms, render: 50ms)
 GET /test-box3-verification 200 in 57ms (compile: 8ms, proxy.ts: 10ms, render: 39ms)
 GET /test-box3-verification 200 in 95ms (compile: 7ms, proxy.ts: 9ms, render: 79ms)
 GET /test-box3-verification 200 in 71ms (compile: 6ms, proxy.ts: 8ms, render: 57ms)
 GET /test-box3-verification 200 in 40ms (compile: 6ms, proxy.ts: 6ms, render: 28ms)
 GET /test-box3-verification 200 in 65ms (compile: 6ms, proxy.ts: 14ms, render: 45ms)
 GET /test-box3-verification 200 in 66ms (compile: 8ms, proxy.ts: 11ms, render: 47ms)
 GET /test-box3-verification 200 in 56ms (compile: 10ms, proxy.ts: 10ms, render: 37ms)
 GET /test-box3-verification 200 in 72ms (compile: 7ms, proxy.ts: 10ms, render: 55ms)
 GET /test-box3-verification 200 in 68ms (compile: 8ms, proxy.ts: 10ms, render: 50ms)
 GET /test-box3-verification 200 in 92ms (compile: 10ms, proxy.ts: 9ms, render: 74ms)
 GET /test-box3-verification 200 in 52ms (compile: 5ms, proxy.ts: 11ms, render: 36ms)
 GET /test-box3-verification 200 in 35ms (compile: 8ms, proxy.ts: 7ms, render: 20ms)
 GET /test-box3-verification 200 in 33ms (compile: 5ms, proxy.ts: 6ms, render: 23ms)
 GET /test-box3-verification 200 in 42ms (compile: 4ms, proxy.ts: 8ms, render: 30ms)
 GET /test-box3-verification 200 in 62ms (compile: 5ms, proxy.ts: 12ms, render: 45ms)
 GET /test-box3-verification 200 in 59ms (compile: 7ms, proxy.ts: 10ms, render: 42ms)
 GET /test-box3-verification 200 in 64ms (compile: 8ms, proxy.ts: 9ms, render: 48ms)
 GET /test-box3-verification 200 in 67ms (compile: 9ms, proxy.ts: 10ms, render: 49ms)
 GET /test-box3-verification 200 in 68ms (compile: 22ms, proxy.ts: 11ms, render: 34ms)
 GET /test-box3-verification 200 in 49ms (compile: 8ms, proxy.ts: 9ms, render: 32ms)
 GET /test-box3-verification 200 in 65ms (compile: 7ms, proxy.ts: 8ms, render: 49ms)
 GET /test-box3-verification 200 in 69ms (compile: 11ms, proxy.ts: 13ms, render: 45ms)
 GET /test-box3-verification 200 in 58ms (compile: 7ms, proxy.ts: 7ms, render: 44ms)
 GET /test-box3-verification 200 in 145ms (compile: 16ms, proxy.ts: 13ms, render: 116ms)
 GET /test-box3-verification 200 in 100ms (compile: 9ms, proxy.ts: 14ms, render: 78ms)
 GET /test-box3-verification 200 in 100ms (compile: 13ms, proxy.ts: 14ms, render: 74ms)
 GET /test-box3-verification 200 in 99ms (compile: 14ms, proxy.ts: 14ms, render: 70ms)
 GET /test-box3-verification 200 in 89ms (compile: 13ms, proxy.ts: 17ms, render: 60ms)
 GET /test-box3-verification 200 in 133ms (compile: 11ms, proxy.ts: 11ms, render: 110ms)
 GET /test-box3-verification 200 in 78ms (compile: 11ms, proxy.ts: 15ms, render: 51ms)
 GET /test-box3-verification 200 in 56ms (compile: 8ms, proxy.ts: 8ms, render: 40ms)
 GET /test-box3-verification 200 in 48ms (compile: 9ms, proxy.ts: 8ms, render: 31ms)
 GET /test-box3-verification 200 in 66ms (compile: 10ms, proxy.ts: 12ms, render: 45ms)
 GET /test-box3-verification 200 in 108ms (compile: 8ms, proxy.ts: 10ms, render: 91ms)
 GET /test-box3-verification 200 in 118ms (compile: 9ms, proxy.ts: 8ms, render: 101ms)
 GET /test-box3-verification 200 in 55ms (compile: 7ms, proxy.ts: 10ms, render: 38ms)
 GET /test-box3-verification 200 in 92ms (compile: 6ms, proxy.ts: 8ms, render: 77ms)
 GET /test-box3-verification 200 in 75ms (compile: 6ms, proxy.ts: 9ms, render: 60ms)
 GET /test-box3-verification 200 in 71ms (compile: 9ms, proxy.ts: 14ms, render: 49ms)
 GET /test-box3-verification 200 in 89ms (compile: 10ms, proxy.ts: 10ms, render: 68ms)
 GET /test-box3-verification 200 in 77ms (compile: 11ms, proxy.ts: 15ms, render: 51ms)
 GET /test-box3-verification 200 in 160ms (compile: 10ms, proxy.ts: 7ms, render: 143ms)
 GET /test-box3-verification 200 in 186ms (compile: 13ms, proxy.ts: 19ms, render: 155ms)
 GET /test-box3-verification 200 in 119ms (compile: 15ms, proxy.ts: 17ms, render: 88ms)
 GET /test-box3-verification 200 in 161ms (compile: 17ms, proxy.ts: 18ms, render: 126ms)
 GET /test-box3-verification 200 in 146ms (compile: 13ms, proxy.ts: 20ms, render: 112ms)
 GET /test-box3-verification 200 in 89ms (compile: 9ms, proxy.ts: 14ms, render: 65ms)
 GET /test-box3-verification 200 in 72ms (compile: 10ms, proxy.ts: 10ms, render: 52ms)
 GET /test-box3-verification 200 in 70ms (compile: 8ms, proxy.ts: 9ms, render: 53ms)
 GET /test-box3-verification 200 in 66ms (compile: 10ms, proxy.ts: 10ms, render: 45ms)
 GET /test-box3-verification 200 in 134ms (compile: 7ms, proxy.ts: 10ms, render: 117ms)
 GET /test-box3-verification 200 in 131ms (compile: 23ms, proxy.ts: 12ms, render: 95ms)
 GET /test-box3-verification 200 in 72ms (compile: 9ms, proxy.ts: 12ms, render: 51ms)
 GET /test-box3-verification 200 in 69ms (compile: 9ms, proxy.ts: 12ms, render: 48ms)
 GET /test-box3-verification 200 in 50ms (compile: 9ms, proxy.ts: 10ms, render: 31ms)
 GET /test-box3-verification 200 in 150ms (compile: 9ms, proxy.ts: 10ms, render: 130ms)
 GET /test-box3-verification 200 in 167ms (compile: 10ms, proxy.ts: 16ms, render: 141ms)
 GET /test-box3-verification 200 in 175ms (compile: 12ms, proxy.ts: 14ms, render: 148ms)
 GET /test-box3-verification 200 in 189ms (compile: 11ms, proxy.ts: 19ms, render: 158ms)
 GET /test-box3-verification 200 in 153ms (compile: 12ms, proxy.ts: 19ms, render: 122ms)
 GET /test-box3-verification 200 in 67ms (compile: 10ms, proxy.ts: 19ms, render: 39ms)
 GET /test-box3-verification 200 in 123ms (compile: 8ms, proxy.ts: 7ms, render: 109ms)
 GET /test-box3-verification 200 in 86ms (compile: 8ms, proxy.ts: 20ms, render: 58ms)
 GET /test-box3-verification 200 in 150ms (compile: 8ms, proxy.ts: 11ms, render: 130ms)
 GET /test-box3-verification 200 in 155ms (compile: 14ms, proxy.ts: 14ms, render: 127ms)
 GET /test-box3-verification 200 in 99ms (compile: 17ms, proxy.ts: 20ms, render: 62ms)
 GET /test-box3-verification 200 in 124ms (compile: 9ms, proxy.ts: 13ms, render: 102ms)
 GET /test-box3-verification 200 in 78ms (compile: 8ms, proxy.ts: 10ms, render: 60ms)
 GET /test-box3-verification 200 in 56ms (compile: 9ms, proxy.ts: 10ms, render: 37ms)
 GET /test-box3-verification 200 in 105ms (compile: 8ms, proxy.ts: 17ms, render: 81ms)
 GET /test-box3-verification 200 in 101ms (compile: 16ms, proxy.ts: 19ms, render: 66ms)
 GET /test-box3-verification 200 in 65ms (compile: 12ms, proxy.ts: 13ms, render: 40ms)
 GET /test-box3-verification 200 in 51ms (compile: 7ms, proxy.ts: 11ms, render: 33ms)
 GET /test-box3-verification 200 in 153ms (compile: 9ms, proxy.ts: 13ms, render: 131ms)
 GET /test-box3-verification 200 in 124ms (compile: 13ms, proxy.ts: 14ms, render: 97ms)
 GET /test-box3-verification 200 in 54ms (compile: 7ms, proxy.ts: 18ms, render: 28ms)
 GET /test-box3-verification 200 in 60ms (compile: 6ms, proxy.ts: 9ms, render: 45ms)
 GET /test-box3-verification 200 in 147ms (compile: 11ms, proxy.ts: 11ms, render: 125ms)
 GET /test-box3-verification 200 in 150ms (compile: 11ms, proxy.ts: 14ms, render: 126ms)
 GET /test-box3-verification 200 in 165ms (compile: 10ms, proxy.ts: 13ms, render: 142ms)
 GET /test-box3-verification 200 in 182ms (compile: 11ms, proxy.ts: 15ms, render: 155ms)
 GET /test-box3-verification 200 in 132ms (compile: 12ms, proxy.ts: 26ms, render: 94ms)
 GET /test-box3-verification 200 in 75ms (compile: 4ms, proxy.ts: 10ms, render: 61ms)
 GET /test-box3-verification 200 in 105ms (compile: 8ms, proxy.ts: 11ms, render: 86ms)
 GET /test-box3-verification 200 in 157ms (compile: 4ms, proxy.ts: 6ms, render: 146ms)
 GET /test-box3-verification 200 in 138ms (compile: 18ms, proxy.ts: 14ms, render: 107ms)
 GET /test-box3-verification 200 in 53ms (compile: 7ms, proxy.ts: 10ms, render: 36ms)
 GET /test-box3-verification 200 in 35ms (compile: 4ms, proxy.ts: 6ms, render: 25ms)
 GET /test-box3-verification 200 in 132ms (compile: 7ms, proxy.ts: 8ms, render: 117ms)
 GET /test-box3-verification 200 in 157ms (compile: 16ms, proxy.ts: 15ms, render: 125ms)
 GET /test-box3-verification 200 in 81ms (compile: 15ms, proxy.ts: 17ms, render: 49ms)
 GET /test-box3-verification 200 in 92ms (compile: 7ms, proxy.ts: 8ms, render: 77ms)
 GET /test-box3-verification 200 in 89ms (compile: 6ms, proxy.ts: 8ms, render: 75ms)
 GET /test-box3-verification 200 in 127ms (compile: 7ms, proxy.ts: 9ms, render: 111ms)
 GET /test-box3-verification 200 in 101ms (compile: 9ms, proxy.ts: 14ms, render: 78ms)
 GET /test-box3-verification 200 in 62ms (compile: 9ms, proxy.ts: 18ms, render: 35ms)
 GET /test-box3-verification 200 in 84ms (compile: 7ms, proxy.ts: 8ms, render: 69ms)
 GET /test-box3-verification 200 in 104ms (compile: 6ms, proxy.ts: 10ms, render: 88ms)
 GET /test-box3-verification 200 in 87ms (compile: 10ms, proxy.ts: 8ms, render: 69ms)
 GET /test-box3-verification 200 in 153ms (compile: 16ms, proxy.ts: 16ms, render: 121ms)
 GET /test-box3-verification 200 in 96ms (compile: 11ms, proxy.ts: 13ms, render: 71ms)
 GET /test-box3-verification 200 in 81ms (compile: 26ms, proxy.ts: 10ms, render: 44ms)
 GET /test-box3-verification 200 in 91ms (compile: 9ms, proxy.ts: 11ms, render: 71ms)
 GET /test-box3-verification 200 in 127ms (compile: 7ms, proxy.ts: 6ms, render: 114ms)
 GET /test-box3-verification 200 in 99ms (compile: 15ms, proxy.ts: 22ms, render: 63ms)
 GET /api/verify-box3-optimization?year=2026 200 in 425ms (compile: 240ms, proxy.ts: 13ms, render: 173ms)
 GET /api/health?persistence_test=RESTART_TEST_12345 200 in 315ms (compile: 18ms, proxy.ts: 7ms, render: 289ms)
 GET /test-box3-verification 200 in 287ms (compile: 207ms, proxy.ts: 43ms, render: 37ms)
 GET /test-box3-verification 200 in 287ms (compile: 6ms, proxy.ts: 14ms, render: 267ms)
 GET /test-box3-verification 200 in 130ms (compile: 14ms, proxy.ts: 16ms, render: 99ms)
 GET /login 200 in 1042ms (compile: 784ms, proxy.ts: 9ms, render: 250ms)
 GET /test-box3-verification 200 in 129ms (compile: 9ms, proxy.ts: 22ms, render: 99ms)
 GET /test-box3-verification 200 in 125ms (compile: 12ms, proxy.ts: 14ms, render: 99ms)
 GET /test-box3-verification 200 in 112ms (compile: 11ms, proxy.ts: 19ms, render: 82ms)
 GET /test-box3-verification 200 in 113ms (compile: 10ms, proxy.ts: 13ms, render: 89ms)
 GET /test-box3-verification 200 in 112ms (compile: 13ms, proxy.ts: 14ms, render: 85ms)
 GET /test-box3-verification 200 in 88ms (compile: 7ms, proxy.ts: 9ms, render: 73ms)
 GET /test-box3-verification 200 in 88ms (compile: 4ms, proxy.ts: 7ms, render: 76ms)
 GET /test-box3-verification 200 in 90ms (compile: 6ms, proxy.ts: 13ms, render: 71ms)
 GET /test-box3-verification 200 in 87ms (compile: 4ms, proxy.ts: 10ms, render: 73ms)
 GET /test-box3-verification 200 in 79ms (compile: 8ms, proxy.ts: 10ms, render: 62ms)
 GET /test-box3-verification 200 in 48ms (compile: 6ms, proxy.ts: 10ms, render: 32ms)
 GET /test-box3-verification 200 in 44ms (compile: 6ms, proxy.ts: 7ms, render: 31ms)
 GET /test-box3-verification 200 in 49ms (compile: 5ms, proxy.ts: 11ms, render: 33ms)
 GET /test-box3-verification 200 in 50ms (compile: 6ms, proxy.ts: 11ms, render: 33ms)
 GET /test-box3-verification 200 in 64ms (compile: 7ms, proxy.ts: 10ms, render: 47ms)
 GET /test-box3-verification 200 in 39ms (compile: 6ms, proxy.ts: 7ms, render: 26ms)
 GET /test-box3-verification 200 in 40ms (compile: 6ms, proxy.ts: 5ms, render: 29ms)
 GET /test-box3-verification 200 in 42ms (compile: 6ms, proxy.ts: 9ms, render: 27ms)
 GET /test-box3-verification 200 in 50ms (compile: 5ms, proxy.ts: 6ms, render: 39ms)
 GET /test-box3-verification 200 in 49ms (compile: 9ms, proxy.ts: 7ms, render: 33ms)
 GET /test-box3-verification 200 in 42ms (compile: 6ms, proxy.ts: 8ms, render: 29ms)
 GET /test-box3-verification 200 in 40ms (compile: 6ms, proxy.ts: 7ms, render: 27ms)
 GET /test-box3-verification 200 in 60ms (compile: 7ms, proxy.ts: 9ms, render: 44ms)
 GET /test-box3-verification 200 in 73ms (compile: 10ms, proxy.ts: 11ms, render: 52ms)
 GET /test-box3-verification 200 in 55ms (compile: 8ms, proxy.ts: 10ms, render: 36ms)
 GET /test-box3-verification 200 in 55ms (compile: 6ms, proxy.ts: 13ms, render: 36ms)
 GET /test-box3-verification 200 in 77ms (compile: 6ms, proxy.ts: 9ms, render: 62ms)
 GET /test-box3-verification 200 in 42ms (compile: 4ms, proxy.ts: 7ms, render: 31ms)
 GET /test-box3-verification 200 in 65ms (compile: 7ms, proxy.ts: 8ms, render: 50ms)
 GET /test-box3-verification 200 in 70ms (compile: 11ms, proxy.ts: 13ms, render: 46ms)
 GET /test-box3-verification 200 in 51ms (compile: 7ms, proxy.ts: 9ms, render: 36ms)
 GET /test-box3-verification 200 in 56ms (compile: 10ms, proxy.ts: 8ms, render: 38ms)
 GET /test-box3-verification 200 in 69ms (compile: 8ms, proxy.ts: 11ms, render: 51ms)
 GET /test-box3-verification 200 in 64ms (compile: 7ms, proxy.ts: 11ms, render: 46ms)
 GET /test-box3-verification 200 in 49ms (compile: 10ms, proxy.ts: 10ms, render: 28ms)
 GET /test-box3-verification 200 in 50ms (compile: 5ms, proxy.ts: 7ms, render: 39ms)
 GET /test-box3-verification 200 in 62ms (compile: 5ms, proxy.ts: 7ms, render: 50ms)
 GET /test-box3-verification 200 in 62ms (compile: 9ms, proxy.ts: 11ms, render: 42ms)
 GET /test-box3-verification 200 in 57ms (compile: 7ms, proxy.ts: 8ms, render: 42ms)
 GET /test-box3-verification 200 in 69ms (compile: 9ms, proxy.ts: 11ms, render: 49ms)
 GET /test-box3-verification 200 in 57ms (compile: 9ms, proxy.ts: 9ms, render: 39ms)
 GET /test-box3-verification 200 in 74ms (compile: 12ms, proxy.ts: 13ms, render: 49ms)
 GET /test-box3-verification 200 in 38ms (compile: 5ms, proxy.ts: 7ms, render: 26ms)
 GET /test-box3-verification 200 in 42ms (compile: 4ms, proxy.ts: 9ms, render: 29ms)
 GET /test-box3-verification 200 in 56ms (compile: 7ms, proxy.ts: 5ms, render: 44ms)
 GET /test-box3-verification 200 in 62ms (compile: 8ms, proxy.ts: 11ms, render: 43ms)
 GET /test-box3-verification 200 in 62ms (compile: 7ms, proxy.ts: 14ms, render: 41ms)
 GET /test-box3-verification 200 in 40ms (compile: 8ms, proxy.ts: 9ms, render: 23ms)
 GET /test-box3-verification 200 in 103ms (compile: 8ms, proxy.ts: 8ms, render: 86ms)
 GET /test-box3-verification 200 in 49ms (compile: 5ms, proxy.ts: 9ms, render: 35ms)
 GET /test-box3-verification 200 in 58ms (compile: 5ms, proxy.ts: 10ms, render: 43ms)
 GET /test-box3-verification 200 in 65ms (compile: 9ms, proxy.ts: 8ms, render: 47ms)
 GET /test-box3-verification 200 in 63ms (compile: 7ms, proxy.ts: 20ms, render: 36ms)
 GET /test-box3-verification 200 in 59ms (compile: 7ms, proxy.ts: 10ms, render: 42ms)
 GET /test-box3-verification 200 in 57ms (compile: 10ms, proxy.ts: 9ms, render: 38ms)
 GET /test-box3-verification 200 in 47ms (compile: 7ms, proxy.ts: 12ms, render: 29ms)
 GET /test-box3-verification 200 in 32ms (compile: 5ms, proxy.ts: 6ms, render: 21ms)
 GET /test-box3-verification 200 in 39ms (compile: 4ms, proxy.ts: 7ms, render: 28ms)
 GET /test-box3-verification 200 in 45ms (compile: 6ms, proxy.ts: 7ms, render: 32ms)
 GET /test-box3-verification 200 in 73ms (compile: 9ms, proxy.ts: 9ms, render: 55ms)
 GET /test-box3-verification 200 in 48ms (compile: 7ms, proxy.ts: 9ms, render: 32ms)
 GET /test-box3-verification 200 in 45ms (compile: 5ms, proxy.ts: 8ms, render: 32ms)
 GET /test-box3-verification 200 in 34ms (compile: 6ms, proxy.ts: 8ms, render: 21ms)
 GET /test-box3-verification 200 in 39ms (compile: 5ms, proxy.ts: 9ms, render: 25ms)
 GET /test-box3-verification 200 in 48ms (compile: 4ms, proxy.ts: 8ms, render: 37ms)
 GET /test-box3-verification 200 in 86ms (compile: 6ms, proxy.ts: 14ms, render: 65ms)
 GET /test-box3-verification 200 in 48ms (compile: 8ms, proxy.ts: 6ms, render: 33ms)
 GET /test-box3-verification 200 in 87ms (compile: 7ms, proxy.ts: 8ms, render: 71ms)
 GET /test-box3-verification 200 in 95ms (compile: 5ms, proxy.ts: 5ms, render: 85ms)
 GET /test-box3-verification 200 in 92ms (compile: 6ms, proxy.ts: 9ms, render: 77ms)
 GET /test-box3-verification 200 in 47ms (compile: 7ms, proxy.ts: 8ms, render: 32ms)
 GET /test-box3-verification 200 in 36ms (compile: 6ms, proxy.ts: 7ms, render: 23ms)
 GET /test-box3-verification 200 in 92ms (compile: 9ms, proxy.ts: 8ms, render: 75ms)
 GET /test-box3-verification 200 in 45ms (compile: 5ms, proxy.ts: 7ms, render: 33ms)
 GET /test-box3-verification 200 in 40ms (compile: 5ms, proxy.ts: 7ms, render: 28ms)
 GET /test-box3-verification 200 in 39ms (compile: 6ms, proxy.ts: 5ms, render: 28ms)
 GET /test-box3-verification 200 in 39ms (compile: 7ms, proxy.ts: 6ms, render: 26ms)
 GET /test-box3-verification 200 in 45ms (compile: 5ms, proxy.ts: 9ms, render: 30ms)
 GET /test-box3-verification 200 in 46ms (compile: 7ms, proxy.ts: 6ms, render: 33ms)
 GET /test-box3-verification 200 in 67ms (compile: 8ms, proxy.ts: 6ms, render: 53ms)
 GET /test-box3-verification 200 in 46ms (compile: 6ms, proxy.ts: 10ms, render: 30ms)
 GET /test-box3-verification 200 in 85ms (compile: 8ms, proxy.ts: 9ms, render: 67ms)
✓ Compiled in 0ms
 GET /test-box3-verification 200 in 101ms (compile: 5ms, proxy.ts: 10ms, render: 86ms)
 GET /test-box3-verification 200 in 357ms (compile: 259ms, proxy.ts: 50ms, render: 48ms)
 GET /test-box3-verification 200 in 122ms (compile: 8ms, proxy.ts: 8ms, render: 106ms)
 GET /test-box3-verification 200 in 149ms (compile: 6ms, proxy.ts: 12ms, render: 131ms)
 GET /test-box3-verification 200 in 105ms (compile: 7ms, proxy.ts: 14ms, render: 84ms)
 GET /test-box3-verification 200 in 75ms (compile: 5ms, proxy.ts: 10ms, render: 60ms)
 GET /test-box3-verification 200 in 120ms (compile: 14ms, proxy.ts: 10ms, render: 95ms)
 GET /test-box3-verification 200 in 127ms (compile: 12ms, proxy.ts: 18ms, render: 96ms)
 GET /test-box3-verification 200 in 72ms (compile: 7ms, proxy.ts: 17ms, render: 48ms)
 GET /test-box3-verification 200 in 93ms (compile: 8ms, proxy.ts: 10ms, render: 75ms)
 GET /test-box3-verification 200 in 68ms (compile: 9ms, proxy.ts: 15ms, render: 44ms)
 GET /test-box3-verification 200 in 60ms (compile: 7ms, proxy.ts: 16ms, render: 38ms)
 GET /test-feature-visit-persistence 200 in 638ms (compile: 533ms, proxy.ts: 48ms, render: 57ms)
 GET /api/verify-feature-visit-persistence 200 in 477ms (compile: 70ms, proxy.ts: 13ms, render: 394ms)
[?25h
